Text Inputs : Specimen label,"S1.104M_LS_CONDYLE"
Notes : Specimen note 1,"Sheep, LS.

Tried testing on the condyle to verify that chipping the bone and gluing it back together does not effect the mechanical properties. Angle of the plane caused it to slip off and test to be void."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.45080,-64.00252,-0.76959,0.11458
0.45180,-64.01123,-0.79689,0.11862
0.45280,-64.01988,-0.82399,0.12262
0.45380,-64.02846,-0.85070,0.12657
0.45480,-64.03698,-0.87693,0.13044
0.45580,-64.04543,-0.90264,0.13423
0.45680,-64.05383,-0.92781,0.13794
0.45780,-64.06215,-0.95244,0.14157
0.45880,-64.07042,-0.97651,0.14512
0.45980,-64.07862,-1.00003,0.14858
0.46080,-64.08677,-1.02297,0.15195
0.46180,-64.09486,-1.04532,0.15523
0.46280,-64.10289,-1.06700,0.15842
0.46380,-64.11087,-1.08789,0.16148
0.46400,-64.11087,-1.08789,0.16148
0.46480,-64.11880,-1.10780,0.16440
0.46580,-64.12668,-1.12652,0.16714
0.46680,-64.13451,-1.14380,0.16967
0.46780,-64.14230,-1.15940,0.17195
0.46880,-64.15005,-1.17306,0.17394
0.46980,-64.15776,-1.18455,0.17560
0.47080,-64.16544,-1.19369,0.17692
0.47180,-64.17309,-1.20042,0.17788
0.47280,-64.18072,-1.20468,0.17847
0.47380,-64.18834,-1.20653,0.17871
0.47480,-64.19596,-1.20599,0.17859
0.47580,-64.20357,-1.20312,0.17813
0.47680,-64.21119,-1.19801,0.17733
0.47780,-64.21883,-1.19072,0.17622
0.47880,-64.22650,-1.18143,0.17480
0.47980,-64.23420,-1.17035,0.17313
0.48000,-64.23420,-1.17035,0.17313
0.48080,-64.24193,-1.15766,0.17121
0.48180,-64.24973,-1.14354,0.16909
0.48280,-64.25758,-1.12819,0.16678
0.48380,-64.26548,-1.11183,0.16433
0.48480,-64.27347,-1.09468,0.16176
0.48580,-64.28152,-1.07692,0.15910
0.48680,-64.28964,-1.05870,0.15637
0.48780,-64.29785,-1.04010,0.15359
0.48880,-64.30615,-1.02117,0.15076
