Text Inputs : Specimen label,"S1.104M_WoLS"
Notes : Specimen note 1,"Sheep, Medial, Without LS. SS316 indenter. 
Issues with PID - had to abort the test."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
1.20780,-61.17538,-4.87535,0.68455
1.21280,-61.17459,-4.84081,0.67972
1.21600,-61.17409,-4.81943,0.67672
1.21780,-61.17375,-4.80488,0.67469
1.22280,-61.17288,-4.76739,0.66944
1.22780,-61.17199,-4.72862,0.66401
1.23200,-61.17126,-4.69695,0.65957
1.23280,-61.17108,-4.68890,0.65845
1.23880,-61.16998,-4.64006,0.65161
1.24380,-61.16906,-4.59859,0.64580
1.24800,-61.16832,-4.56483,0.64107
1.24980,-61.16795,-4.54816,0.63873
1.25480,-61.16703,-4.50686,0.63295
1.25880,-61.16628,-4.47389,0.62833
1.26400,-61.16533,-4.43317,0.62263
1.26480,-61.16514,-4.42513,0.62150
1.27080,-61.16400,-4.37778,0.61487
1.27880,-61.16248,-4.31802,0.60650
1.28000,-61.16229,-4.31088,0.60550
1.28580,-61.16115,-4.26913,0.59965
1.29280,-61.15982,-4.22434,0.59338
1.29600,-61.15925,-4.20603,0.59082
1.29980,-61.15850,-4.18213,0.58747
1.30780,-61.15713,-4.13551,0.58095
1.31200,-61.15650,-4.11318,0.57782
1.31480,-61.15602,-4.09671,0.57551
1.32280,-61.15478,-4.05370,0.56949
1.32800,-61.15402,-4.02735,0.56580
1.32880,-61.15387,-4.02208,0.56506
1.33580,-61.15282,-3.98508,0.55987
1.34180,-61.15194,-3.95376,0.55549
1.34400,-61.15165,-3.94340,0.55404
1.35280,-61.15040,-3.89688,0.54752
1.36000,-61.14958,-3.86304,0.54277
1.36780,-61.14875,-3.82848,0.53793
1.37600,-61.14801,-3.79853,0.53373
1.38180,-61.14748,-3.77894,0.53099
1.39200,-61.14665,-3.74868,0.52675
1.39680,-61.14626,-3.73381,0.52466
1.40800,-61.14548,-3.70330,0.52038
1.41180,-61.14521,-3.69255,0.51888
1.42400,-61.14441,-3.65935,0.51422
1.44000,-61.14365,-3.62027,0.50874
1.45600,-61.14328,-3.59771,0.50558
1.47200,-61.14313,-3.58754,0.50415
1.48800,-61.14316,-3.58235,0.50342
1.50400,-61.14325,-3.58124,0.50326
1.52000,-61.14335,-3.58012,0.50310
1.53600,-61.14348,-3.57778,0.50277
1.55200,-61.14368,-3.57514,0.50240
1.56800,-61.14388,-3.57387,0.50222
1.58400,-61.14409,-3.57361,0.50218
1.60000,-61.14429,-3.57124,0.50184
1.61280,-61.14445,-3.56961,0.50161
1.61600,-61.14449,-3.56973,0.50163
1.63200,-61.14469,-3.56908,0.50154
1.64800,-61.14489,-3.56716,0.50126
1.66400,-61.14510,-3.56705,0.50124
1.68000,-61.14538,-3.56711,0.50125
1.68980,-61.14557,-3.56676,0.50120
1.69600,-61.14569,-3.56612,0.50111
1.71200,-61.14599,-3.56531,0.50099
1.72800,-61.14630,-3.56330,0.50070
1.74400,-61.14660,-3.56364,0.50075
1.75980,-61.14691,-3.56401,0.50079
1.76000,-61.14691,-3.56401,0.50079
1.77600,-61.14721,-3.56262,0.50059
1.79200,-61.14752,-3.56163,0.50045
1.80800,-61.14782,-3.56138,0.50041
1.82380,-61.14812,-3.56135,0.50040
1.82400,-61.14812,-3.56135,0.50040
1.84000,-61.14843,-3.56042,0.50027
1.85600,-61.14873,-3.56018,0.50023
1.87200,-61.14904,-3.56082,0.50032
1.88800,-61.14934,-3.56105,0.50035
1.89780,-61.14953,-3.55993,0.50019
1.90400,-61.14964,-3.55872,0.50001
1.92000,-61.14995,-3.55862,0.50000
1.93600,-61.15025,-3.55893,0.50004
1.95200,-61.15056,-3.55794,0.49989
1.95880,-61.15069,-3.55723,0.49979
1.96800,-61.15086,-3.55615,0.49964
1.98400,-61.15116,-3.55769,0.49985
2.00000,-61.15138,-3.55848,0.49996
2.01600,-61.15158,-3.55758,0.49983
2.02880,-61.15174,-3.55599,0.49961
2.03200,-61.15178,-3.55593,0.49960
2.04800,-61.15199,-3.55596,0.49960
2.06400,-61.15219,-3.55560,0.49954
2.08000,-61.15239,-3.55532,0.49950
2.09600,-61.15260,-3.55434,0.49936
2.10080,-61.15266,-3.55425,0.49935
2.11200,-61.15280,-3.55439,0.49937
2.12800,-61.15300,-3.55617,0.49961
2.14400,-61.15321,-3.55431,0.49935
2.16000,-61.15341,-3.55408,0.49931
2.17600,-61.15361,-3.55488,0.49943
2.18380,-61.15371,-3.55527,0.49948
2.19200,-61.15382,-3.55528,0.49948
2.20800,-61.15402,-3.55303,0.49916
2.22400,-61.15422,-3.55285,0.49913
2.24000,-61.15442,-3.55314,0.49917
2.24780,-61.15452,-3.55274,0.49911
2.25600,-61.15462,-3.55243,0.49907
2.27200,-61.15483,-3.55212,0.49902
2.28800,-61.15503,-3.55328,0.49918
2.30400,-61.15523,-3.55277,0.49911
2.32000,-61.15544,-3.55195,0.49899
2.32280,-61.15548,-3.55141,0.49891
2.33600,-61.15564,-3.55089,0.49884
2.35200,-61.15584,-3.55203,0.49900
2.36800,-61.15605,-3.55157,0.49893
2.38400,-61.15625,-3.55156,0.49892
2.39280,-61.15636,-3.55077,0.49881
2.40000,-61.15645,-3.54977,0.49867
2.41600,-61.15666,-3.54983,0.49868
2.43200,-61.15686,-3.55243,0.49904
2.44800,-61.15706,-3.55174,0.49894
2.46400,-61.15726,-3.55152,0.49891
2.47580,-61.15742,-3.55096,0.49883
2.48000,-61.15746,-3.55053,0.49876
2.49600,-61.15766,-3.54935,0.49860
2.51200,-61.15787,-3.54916,0.49857
2.52800,-61.15807,-3.55020,0.49871
2.54400,-61.15827,-3.54999,0.49868
2.54680,-61.15831,-3.55003,0.49868
2.56000,-61.15848,-3.54955,0.49861
2.57600,-61.15868,-3.54865,0.49848
2.59200,-61.15888,-3.55002,0.49867
2.60800,-61.15909,-3.55075,0.49877
2.62180,-61.15926,-3.54950,0.49860
2.62400,-61.15929,-3.54920,0.49855
2.64000,-61.15949,-3.54846,0.49845
2.65600,-61.15970,-3.54939,0.49858
2.67200,-61.15990,-3.55017,0.49868
2.68800,-61.16010,-3.54848,0.49844
2.70400,-61.16031,-3.54858,0.49845
2.70480,-61.16031,-3.54858,0.49845
2.72000,-61.16050,-3.54855,0.49845
2.73600,-61.16071,-3.54889,0.49849
2.75200,-61.16091,-3.54846,0.49843
2.76800,-61.16111,-3.54953,0.49858
2.78400,-61.16132,-3.54870,0.49846
2.78980,-61.16140,-3.54850,0.49843
2.80000,-61.16152,-3.54764,0.49831
2.81600,-61.16172,-3.54677,0.49818
2.83200,-61.16193,-3.54751,0.49828
2.84800,-61.16213,-3.54807,0.49836
2.86280,-61.16232,-3.54785,0.49832
2.86400,-61.16233,-3.54776,0.49831
2.88000,-61.16254,-3.54764,0.49829
2.89600,-61.16274,-3.54813,0.49836
2.91200,-61.16294,-3.54784,0.49832
2.92800,-61.16315,-3.54691,0.49818
2.94400,-61.16335,-3.54759,0.49828
2.95480,-61.16349,-3.54754,0.49827
2.96000,-61.16355,-3.54724,0.49822
2.97600,-61.16375,-3.54633,0.49809
2.99200,-61.16395,-3.54565,0.49800
3.00800,-61.16416,-3.54729,0.49822
3.02400,-61.16436,-3.54731,0.49822
3.03680,-61.16452,-3.54715,0.49820
3.04000,-61.16456,-3.54690,0.49816
3.05600,-61.16477,-3.54492,0.49788
